RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15600001,Cook,407,France,Female,37,1,172407.88,1,1,0,5970.45,1
2,15600002,Mitchell,658,France,Male,42,10,178317.99,1,1,0,151758.56,1
3,15600003,Green,524,France,Male,45,1,101182.55,1,1,0,145944.0,0
4,15600004,King,390,Spain,Female,34,9,0,2,1,0,171058.79,0
5,15600005,King,492,France,Female,41,10,74074.68,2,0,0,32688.96,0
6,15600006,Cook,702,Spain,Female,44,0,0,1,1,0,42204.12,0
7,15600007,Rivera,511,France,Female,19,7,0,2,1,1,179559.01,0
8,15600008,Jackson,420,Spain,Male,50,0,0,1,1,0,76957.69,0
9,15600009,Baker,620,France,Male,34,8,190210.67,1,1,1,31640.11,1
10,15600010,Cooper,798,Spain,Male,32,8,229030.68,1,0,0,74787.21,0
11,15600011,Howard,822,Spain,Male,27,1,232983.67,2,1,0,11595.51,0
12,15600012,Garcia,393,Spain,Male,30,8,0,2,0,1,105536.26,0
13,15600013,Moore,825,Spain,Male,34,10,165970.73,2,0,0,44946.76,0
14,15600014,Morris,633,France,Male,27,0,27038.34,1,0,1,14181.7,0
15,15600015,Bell,598,France,Male,33,9,123441.05,2,0,0,19395.89,0
16,15600016,Green,560,France,Male,18,10,166829.32,1,1,0,49738.1,0
17,15600017,Adams,421,France,Female,18,1,116351.38,2,0,0,193792.32,0
18,15600018,Lee,435,France,Female,41,3,217516.09,1,0,1,53047.13,0
19,15600019,Baker,496,France,Female,41,0,149003.27,2,0,0,116835.94,0
20,15600020,Parker,430,France,Male,43,2,0,2,1,0,188312.82,0
21,15600021,Morris,654,France,Male,25,8,0,2,1,0,53129.41,0
22,15600022,Morgan,503,France,Male,43,0,119988.53,4,0,0,101178.86,1
23,15600023,Allen,801,France,Male,33,8,178849.58,4,0,1,186344.99,1
24,15600024,Martinez,485,France,Male,41,8,0,1,1,0,137497.87,0
25,15600025,Mitchell,600,France,Male,45,4,20580.82,1,1,0,148243.6,0
26,15600026,Green,637,France,Male,42,2,140941.67,2,0,1,25498.25,0
27,15600027,Williams,810,France,Male,32,8,222192.33,2,0,0,172916.21,0
28,15600028,Taylor,801,France,Male,28,5,197772.76,2,0,1,31848.11,0
29,15600029,King,796,France,Female,40,7,93918.02,2,0,0,132005.61,0
30,15600030,Clark,792,France,Female,55,5,163955.62,4,1,0,23077.73,0
31,15600031,Taylor,647,Germany,Female,50,5,184850.81,2,0,1,179895.35,1
32,15600032,Williams,712,France,Male,40,5,113511.38,3,1,0,143948.69,1
33,15600033,Robinson,691,France,Female,32,3,110907.12,2,0,1,81218.86,0
34,15600034,Robinson,496,France,Female,24,7,116028.64,2,0,0,56763.44,0
35,15600035,Reed,521,France,Male,33,3,0,4,0,1,82891.87,0
36,15600036,Thomas,717,Spain,Female,30,6,68556.27,1,0,1,43775.63,0
37,15600037,Bailey,615,France,Male,41,2,202339.98,4,1,1,122530.34,0
38,15600038,Mitchell,568,Germany,Female,34,2,188477.31,1,0,1,153159.69,0
39,15600039,Cook,472,France,Male,35,5,86730.3,1,0,1,138788.29,0
40,15600040,Jones,562,France,Female,29,6,24943.77,1,0,1,95398.42,0
41,15600041,Robinson,735,France,Female,21,9,225474.72,1,1,0,77775.59,0
42,15600042,Wright,720,France,Female,33,2,245373.27,3,0,0,128549.23,1
43,15600043,Baker,443,France,Female,31,5,192695.13,2,1,1,166977.82,0
44,15600044,Richardson,626,France,Female,46,3,166034.58,2,0,0,39879.91,1
45,15600045,Wilson,472,France,Male,30,4,0,2,0,0,192937.31,1
46,15600046,Johnson,825,France,Female,34,6,0,2,0,0,139436.86,0
47,15600047,Murphy,657,Germany,Male,30,5,26549.62,1,1,1,21117.34,0
48,15600048,Cook,806,Germany,Male,45,6,52272.87,2,1,1,87118.16,0
49,15600049,Clark,515,Germany,Male,35,7,146763.91,1,1,1,36376.08,1
50,15600050,Harris,524,France,Female,47,8,12436.27,1,1,1,111036.22,0
51,15600051,Nelson,680,Spain,Female,38,3,0,2,1,1,110695.6,0
52,15600052,Richardson,631,France,Female,32,4,0,2,1,0,148573.6,0
53,15600053,Bailey,444,France,Female,34,8,153229.78,2,1,0,72180.9,0
54,15600054,Rivera,623,France,Male,50,0,142806.15,1,1,0,174538.86,0
55,15600055,Nelson,595,France,Male,44,7,0,2,0,0,29848.25,0
56,15600056,Robinson,393,Germany,Male,35,8,193466.43,2,0,1,90105.87,0
57,15600057,Morris,569,France,Male,24,3,0,1,0,0,110399.49,0
58,15600058,Scott,580,Spain,Female,26,4,0,1,1,0,137475.43,0
59,15600059,Cook,651,Spain,Male,25,10,0,1,0,0,158522.15,0
60,15600060,Stewart,821,France,Male,42,7,175282.72,3,1,1,16098.41,1
61,15600061,Green,726,France,Female,44,10,210630.07,3,1,0,152618.81,1
62,15600062,Parker,683,France,Female,38,2,249266.91,2,0,1,69597.15,0
63,15600063,Bell,403,Germany,Female,27,10,236846.45,2,1,0,62909.0,1
64,15600064,Howard,556,Germany,Male,43,10,218648.2,1,1,1,125081.38,0
65,15600065,Moore,486,Spain,Female,22,1,16928.67,2,0,1,110168.86,0
66,15600066,Garcia,465,Germany,Male,42,7,237294.58,1,1,1,83101.71,0
67,15600067,Nelson,474,France,Male,20,8,0,1,1,1,186843.41,0
68,15600068,Smith,494,Spain,Female,52,2,117171.37,1,1,1,186564.21,0
